system:index,BIOME_NAME,ECO_NAME,MeanAltitude,REALM,StdErrAltitude,adm1_name,admin1,id,id_c,iso3,name,region,thermal,x,y,zone,.geo
000000000000000034ad,Tropical & Subtropical Moist Broadleaf Forests,Alto Paraná Atlantic forests,131.602617052051,Neotropic,222.77771268052393,Rio de Janeiro,BRAr119,78872,78872,BRA,Brazil,South America,1,-41.7680495816,-22.1020807742,6,"{""type"":""Polygon"",""coordinates"":[[[-41.999991930215856,-21.876398839504233],[-41.999991930215856,-22.37639779170396],[-41.94791743756102,-22.376397793193195],[-41.895842909313956,-22.376397840055404],[-41.8437683875996,-22.376397801147853],[-41.79169391407798,-22.376397840606057],[-41.763062056333865,-22.346111623415066],[-41.730976543133,-22.323610983636097],[-41.69889113536027,-22.301110348193397],[-41.67111087386455,-22.284999668947634],[-41.63944458803167,-22.269444078772914],[-41.607778262530616,-22.25388850011376],[-41.58167025783251,-22.243610239161043],[-41.543058894393646,-22.231111365112394],[-41.52112008322289,-22.224168615642547],[-41.499988470853474,-22.21751557806035],[-41.49998847085347,-21.87639881321659],[-41.5624888602552,-21.876398817906125],[-41.62498927771381,-21.876398842436156],[-41.68748977391794,-21.876398772454515],[-41.7499901702272,-21.876398785419],[-41.81249059096982,-21.87639881667528],[-41.87499100708657,-21.87639884800955],[-41.937491464045344,-21.87639883736466],[-41.999991930215856,-21.876398839504233]]]}"
00000000000000003500,Tropical & Subtropical Moist Broadleaf Forests,Alto Paraná Atlantic forests,3.008281344255316,Neotropic,2.9435166278273197,Rio de Janeiro,BRAr119,79157,79157,BRA,Brazil,South America,1,-41.2803876784,-22.0111018853,5,"{""type"":""Polygon"",""coordinates"":[[[-41.49998847085347,-21.87639881321659],[-41.499988470853474,-22.21751557806035],[-41.450140123526964,-22.201812872782497],[-41.40029187571494,-22.186110103720647],[-41.343050351523,-22.169999425306298],[-41.30138901321952,-22.160559522224688],[-41.27862081256797,-22.15416959595369],[-41.23389160858737,-22.14056040697921],[-41.199311261698675,-22.12778061386493],[-41.15455299889721,-22.104307964784866],[-41.109794775872565,-22.080835264232906],[-41.06503655788743,-22.057362504889895],[-41.02027830977441,-22.033889828067146],[-41.00195145485619,-22.023058647184033],[-40.999989411987634,-22.02113679806495],[-40.999989411987634,-21.876398838488242],[-41.06248934043813,-21.87639877334325],[-41.124989149882154,-21.876398793798913],[-41.1874890553455,-21.876398816652028],[-41.24998896315163,-21.87639877667886],[-41.312488778820544,-21.876398831373624],[-41.374988712919915,-21.876398821797316],[-41.4374885919578,-21.876398779281928],[-41.49998847085347,-21.87639881321659]]]}"
0000000000000000326e,Mangroves,Amazon-Orinoco-Southern Caribbean mangroves,4.765629179468628,Neotropic,2.9425247670791377,Maranhao,BRAr108,77120,77120,BRA,Brazil,South America,1,-44.9443842176,-1.3165507914,5,"{""type"":""Polygon"",""coordinates"":[[[-44.99999035947156,-1.3763996622409167],[-44.94401974675926,-1.3763996140389014],[-44.88416968286959,-1.332218849286764],[-44.871951767254544,-1.309031555911796],[-44.87813207398281,-1.2869411726182642],[-44.9216707212188,-1.2595801276968306],[-44.97555894830719,-1.2616714033335088],[-44.99389920348367,-1.2836101972696203],[-44.99999035947156,-1.292813780235005],[-44.99999035947156,-1.3763996622409167]]]}"
0000000000000000326f,Mangroves,Amazon-Orinoco-Southern Caribbean mangroves,16.252342770938597,Neotropic,10.847195577853435,Maranhao,BRAr108,77121,77121,BRA,Brazil,South America,1,-44.837983476,-1.7177955518,5,"{""type"":""MultiPolygon"",""coordinates"":[[[[-44.99999035947156,-1.3763996622409167],[-44.99999035947156,-1.4000952826274058],[-44.99888897800439,-1.4011119919110955],[-44.99360937899596,-1.4024987677448473],[-44.987500437411455,-1.401941357414263],[-44.97278091238267,-1.3963898081765886],[-44.96055851905913,-1.3886086639764819],[-44.94401974675926,-1.3763996140389014],[-44.99999035947156,-1.3763996622409167]]],[[[-44.78750083594485,-1.653060110322718],[-44.77853801457546,-1.6676413498891984],[-44.769169458934456,-1.6722208410308372],[-44.74306139457827,-1.6636103500679529],[-44.687220078801296,-1.6497202362056909],[-44.661669422539504,-1.6604889528486018],[-44.652639799647204,-1.6211106510320699],[-44.65833849395375,-1.6038895903871189],[-44.67041819435456,-1.5819418993957033],[-44.684451024544316,-1.566250309129624],[-44.715138523203834,-1.5618090484347682],[-44.75111009787851,-1.5899995164776541],[-44.77139006207586,-1.6080588815679862],[-44.783340494715844,-1.6191709442786242],[-44.78750083594485,-1.653060110322718]]],[[[-44.99999035947156,-1.876398661872574],[-44.76096468961624,-1.8763986334836034],[-44.521939030412874,-1.8763986607795038],[-44.52778044922209,-1.8591686495615265],[-44.53888810864332,-1.8322178820902513],[-44.569169885079155,-1.8166689780004976],[-44.640011624696974,-1.7891696945272288],[-44.69501016922818,-1.8177793048118047],[-44.71973139171914,-1.7936109960357463],[-44.799170285070275,-1.7049997345183374],[-44.79027883495235,-1.6269386690358394],[-44.798059947597345,-1.6077779475281024],[-44.827218014449876,-1.576318966214744],[-44.90723215774242,-1.6152781621460155],[-44.91360867907318,-1.6391699851225041],[-44.93471805682704,-1.619170928984657],[-44.95139065730316,-1.6016689818079786],[-44.915280846896465,-1.54610857170173],[-44.879001588031606,-1.5029712439150502],[-44.85583206113085,-1.4897187976274526],[-44.84819807517155,-1.4670799463028115],[-44.85889991800714,-1.4306178666399174],[-44.95499804212394,-1.5022220870456435],[-44.99999035947156,-1.4904099420610504],[-44.99999035947156,-1.876398661872574]]]]}"
000000000000000032cc,Mangroves,Amazon-Orinoco-Southern Caribbean mangroves,27.38680857235599,Neotropic,14.599450121189763,Maranhao,BRAr108,77407,77407,BRA,Brazil,South America,1,-44.4407282997,-2.2666142824,5,"{""type"":""MultiPolygon"",""coordinates"":[[[[-44.49999138748897,-2.0522343720163305],[-44.49653112777112,-2.0476415171003484],[-44.48972206162585,-1.9866722081423047],[-44.49999138748896,-1.949148886084939],[-44.49999138748897,-2.0522343720163305]]],[[[-44.49999138748896,-2.376402080198257],[-44.37165841525939,-2.376402128810959],[-44.36055974905239,-2.3419421857304137],[-44.36167005012424,-2.3202798684492327],[-44.36638780000035,-2.294720271800438],[-44.3950107277833,-2.1987515415013745],[-44.42812846220514,-2.1564614227899916],[-44.45083870726476,-2.146388309268653],[-44.49999138748896,-2.1483636982070453],[-44.49999138748896,-2.376402080198257]]]]}"
000000000000000032cd,Mangroves,Amazon-Orinoco-Southern Caribbean mangroves,21.884735125185358,Neotropic,14.539968952177501,Maranhao,BRAr108,77408,77408,BRA,Brazil,South America,1,-44.2153644562,-2.6563278157,5,"{""type"":""MultiPolygon"",""coordinates"":[[[[-44.49999138748896,-2.376402080198257],[-44.49999138748896,-2.46413491027617],[-44.44152810428066,-2.4120793486221466],[-44.40639035296158,-2.410001445951423],[-44.379100664153775,-2.3995091867309113],[-44.37165841525939,-2.376402128810959],[-44.49999138748896,-2.376402080198257]]],[[[-44.49999138748896,-2.876401092167076],[-44.48319841958347,-2.8764011192667223],[-44.480830612292735,-2.8616682327549],[-44.47695118272321,-2.7486121811250093],[-44.48083953379199,-2.7258306645317933],[-44.48389850106798,-2.7100008057978924],[-44.49999138748896,-2.713724188824366],[-44.49999138748896,-2.876401092167076]]],[[[-44.406952211182144,-2.8764010901549386],[-44.30521111376276,-2.8764011139649397],[-44.20347007597413,-2.876401116440012],[-44.101728968441435,-2.8764010920515255],[-43.99998786754135,-2.87640107993068],[-43.99998786754136,-2.627244399793992],[-44.005280881770645,-2.6330590441800066],[-44.02139159229524,-2.6511095047477866],[-44.12111936019243,-2.7708318630579445],[-44.1777811525404,-2.8480590453742267],[-44.19832872080102,-2.868891979430423],[-44.214368085850694,-2.8495082727928835],[-44.17680912790302,-2.8165599633462066],[-44.190627847666775,-2.763398545046668],[-44.26451963759457,-2.7831300903687057],[-44.277500075893364,-2.81028155259732],[-44.29333880090956,-2.835350593237271],[-44.340351084232566,-2.8273599232411675],[-44.33837128184124,-2.7807979566098666],[-44.26723074941581,-2.7336117481230566],[-44.232779744051726,-2.713331768826681],[-44.18709179076803,-2.695419588074755],[-44.16208963448258,-2.6901399798626575],[-44.13291819625126,-2.668058528857643],[-44.04194807475803,-2.5476405219048006],[-44.02903004783255,-2.5188882304768367],[-44.03389043756429,-2.4136088379464025],[-44.063338320074806,-2.4058321532857145],[-44.104861531100944,-2.4138897660409597],[-44.12375025750968,-2.42568856089761],[-44.167498514532745,-2.4536114578615362],[-44.21195128040438,-2.4734678187675927],[-44.25639065258211,-2.482778405484615],[-44.283198824504254,-2.481391615405844],[-44.35694786267329,-2.5266693369742153],[-44.367498108657884,-2.555278912332009],[-44.38417066529488,-2.701390298256091],[-44.405560992763036,-2.868058097241409],[-44.406952211182144,-2.8764010901549386]]]]}"
00000000000000003432,Mangroves,Amazon-Orinoco-Southern Caribbean mangroves,23.085467319608153,Neotropic,14.719376891910327,Maranhao,BRAr108,78548,78548,BRA,Brazil,South America,1,-42.2935142039,-2.8260401447,4,"{""type"":""Polygon"",""coordinates"":[[[-42.49999091571256,-2.876401109233432],[-42.37499112728458,-2.8764010954517323],[-42.249991408231224,-2.8764011176477693],[-42.124991626647976,-2.8764010891710434],[-41.999991930215856,-2.8764010808819593],[-41.999991930215856,-2.8354710005142194],[-42.02750005659414,-2.8299997169980737],[-42.06167019555663,-2.819440567915114],[-42.10999793761462,-2.80278133722577],[-42.21166985638292,-2.808818947809153],[-42.2336086830243,-2.8330586423506423],[-42.235838213696425,-2.837780841275267],[-42.2337513806127,-2.8056886540198587],[-42.26986115643454,-2.75653156973285],[-42.291389695437225,-2.754168202049308],[-42.31277998443247,-2.759719793711026],[-42.344100713494115,-2.7688921743618335],[-42.45750903598655,-2.7506901343352865],[-42.49999091571255,-2.733477990166662],[-42.49999091571256,-2.876401109233432]]]}"
000000000000000037c0,Tropical & Subtropical Moist Broadleaf Forests,Atlantic Coast restingas,18.265297581576217,Neotropic,13.059987309597037,Rio Grande do Norte,BRAr111,82543,82543,BRA,Brazil,South America,1,-35.4347721682,-5.2933403952,4,"{""type"":""Polygon"",""coordinates"":[[[-35.49999146668449,-5.376400599873726],[-35.41052411705676,-5.376400547787094],[-35.32105669560485,-5.376400551968041],[-35.373188023102365,-5.279031649725861],[-35.4144481385793,-5.218468098212246],[-35.479729371398676,-5.166109346951059],[-35.49999146668449,-5.155710718192644],[-35.49999146668449,-5.376400599873726]]]}"
00000000000000003664,Tropical & Subtropical Moist Broadleaf Forests,Atlantic Coast restingas,6.826383352240514,Neotropic,11.380824202982645,Bahia,BRAr116,80566,80566,BRA,Brazil,South America,1,-38.9608151488,-14.0443046998,6,"{""type"":""MultiPolygon"",""coordinates"":[[[[-38.999988947132344,-14.064178622229395],[-38.993309211789445,-14.05835056805229],[-38.99499920558067,-14.010829913546239],[-38.999988947132344,-13.997751385321306],[-38.999988947132344,-14.064178622229395]]],[[[-38.999988947132344,-14.325785148187906],[-38.99111094346677,-14.244451181452995],[-38.98625048273858,-14.198468923453907],[-38.95220076652979,-14.113679115394111],[-38.92472828869369,-14.035279216950846],[-38.92070167655097,-13.925139424314555],[-38.936531490834014,-13.89159806925293],[-38.989131068535116,-13.929478102455656],[-38.97639137741155,-13.954440181114057],[-38.969172116373656,-13.985279312151683],[-38.95666877563203,-14.045000041125812],[-38.95930863201896,-14.067638882349192],[-38.999988947132344,-14.124198114331879],[-38.999988947132344,-14.325785148187906]]]]}"
00000000000000003667,Tropical & Subtropical Moist Broadleaf Forests,Atlantic Coast restingas,22.266161985657046,Neotropic,17.411822816487977,Bahia,BRAr116,80570,80570,BRA,Brazil,South America,1,-38.9577983424,-15.9986190364,6,"{""type"":""Polygon"",""coordinates"":[[[-38.999988947132344,-15.876401868995696],[-38.999988947132344,-16.245526303915103],[-38.97207942255655,-16.162348433480332],[-38.944169927013114,-16.079170602212347],[-38.92631126673484,-16.028478436943637],[-38.908452584691034,-15.97778621864297],[-38.890593887765746,-15.927094018104397],[-38.87273518284405,-15.876401906278476],[-38.93636206849463,-15.87640189916162],[-38.999988947132344,-15.876401868995696]]]}"
00000000000000003551,Tropical & Subtropical Moist Broadleaf Forests,Atlantic Coast restingas,2.205373395357868,Neotropic,1.5632358100759225,Rio de Janeiro,BRAr119,79442,79442,BRA,Brazil,South America,1,-40.9867125148,-21.9454587628,3,"{""type"":""Polygon"",""coordinates"":[[[-40.999989411987634,-21.876398838488242],[-40.999989411987634,-22.02113679806495],[-40.98723194082115,-22.00861119186184],[-40.97014022766791,-21.98249869215654],[-40.966809240245325,-21.957920117681976],[-40.981604573213154,-21.876398779304118],[-40.999989411987634,-21.876398838488242]]]}"
00000000000000003543,Tropical & Subtropical Moist Broadleaf Forests,Bahia coastal forests,699.9949684511782,Neotropic,180.484854779841,Bahia,BRAr116,79428,79428,BRA,Brazil,South America,1,-40.74999,-15.1264,3,"{""type"":""Polygon"",""coordinates"":[[[-40.999989411987634,-14.876399414180746],[-40.999989411987634,-15.376398431953339],[-40.93748953264025,-15.37639843269778],[-40.87498971575412,-15.376398441273484],[-40.812489819091084,-15.376398399064877],[-40.74998993053536,-15.376398412901588],[-40.68749005977414,-15.376398461767891],[-40.62499021535766,-15.37639845173513],[-40.5624903271383,-15.376398450412003],[-40.49999040114646,-15.37639843555991],[-40.49999040114646,-14.876399466419105],[-40.5624903271383,-14.876399443975474],[-40.62499021535767,-14.876399416575781],[-40.68749005977414,-14.876399409020127],[-40.74998993053536,-14.876399429188439],[-40.81248981909108,-14.87639942897619],[-40.87498971575412,-14.876399432111686],[-40.93748953264025,-14.876399406554413],[-40.999989411987634,-14.876399414180746]]]}"
00000000000000003591,Tropical & Subtropical Moist Broadleaf Forests,Bahia coastal forests,709.0612927295751,Neotropic,192.43035038243627,Bahia,BRAr116,79712,79712,BRA,Brazil,South America,1,-40.24999,-14.6264,4,"{""type"":""Polygon"",""coordinates"":[[[-40.49999040114646,-14.376400435105301],[-40.49999040114646,-14.876399466419105],[-40.4374905977365,-14.876399425842346],[-40.37499068773973,-14.876399418444045],[-40.31249082933165,-14.876399385539989],[-40.24999094629261,-14.876399389858527],[-40.187491039004186,-14.876399404922676],[-40.12499118486192,-14.876399460134028],[-40.062491304022224,-14.876399399402882],[-39.99999147179694,-14.876399396753483],[-39.999991471796925,-14.376400387097688],[-40.06249130402223,-14.376400454438752],[-40.12499118486192,-14.376400433792504],[-40.187491039004186,-14.376400443437753],[-40.24999094629261,-14.376400424979881],[-40.31249082933165,-14.376400423684416],[-40.37499068773973,-14.376400396481058],[-40.437490597736506,-14.376400428260299],[-40.49999040114646,-14.376400435105301]]]}"
00000000000000003596,Tropical & Subtropical Moist Broadleaf Forests,Bahia coastal forests,381.9142727180805,Neotropic,175.0472962600317,Bahia,BRAr116,79717,79717,BRA,Brazil,South America,1,-40.24999,-17.1264,6,"{""type"":""Polygon"",""coordinates"":[[[-40.49999040114646,-16.87639989522349],[-40.49999040114646,-17.376398870297695],[-40.437490597736506,-17.37639885392577],[-40.37499068773973,-17.376398888306696],[-40.312490829331644,-17.376398848834963],[-40.24999094629261,-17.376398888503896],[-40.18749103900418,-17.37639891970224],[-40.12499118486192,-17.376398909408593],[-40.06249130402223,-17.376398861786022],[-39.99999147179693,-17.37639889116488],[-39.99999147179693,-16.8763998700833],[-40.062491304022224,-16.876399856278233],[-40.12499118486192,-16.876399866794824],[-40.187491039004186,-16.876399863569404],[-40.24999094629261,-16.87639991899933],[-40.31249082933165,-16.876399920779306],[-40.374990687739725,-16.876399885364457],[-40.437490597736506,-16.876399883890787],[-40.49999040114646,-16.87639989522349]]]}"
00000000000000003597,Tropical & Subtropical Moist Broadleaf Forests,Bahia coastal forests,207.97664299081896,Neotropic,48.88756524653508,Bahia,BRAr116,79718,79718,BRA,Brazil,South America,1,-40.24999,-17.6264,5,"{""type"":""Polygon"",""coordinates"":[[[-40.49999040114646,-17.376398870297695],[-40.49999040114646,-17.87639786881754],[-40.437490597736506,-17.876397877113494],[-40.37499068773973,-17.87639790924758],[-40.31249082933165,-17.876397915940217],[-40.24999094629261,-17.876397905549403],[-40.187491039004186,-17.876397866684993],[-40.12499118486192,-17.876397916653683],[-40.062491304022224,-17.876397914412596],[-39.99999147179693,-17.87639790244134],[-39.99999147179693,-17.37639889116488],[-40.06249130402223,-17.376398861786022],[-40.12499118486192,-17.376398909408593],[-40.18749103900418,-17.37639891970224],[-40.24999094629261,-17.376398888503896],[-40.312490829331644,-17.376398848834963],[-40.37499068773973,-17.376398888306696],[-40.437490597736506,-17.37639885392577],[-40.49999040114646,-17.376398870297695]]]}"
000000000000000035d9,Tropical & Subtropical Moist Broadleaf Forests,Bahia coastal forests,504.7451102513449,Neotropic,197.89297195329345,Bahia,BRAr116,79995,79995,BRA,Brazil,South America,1,-39.74999,-13.6264,6,"{""type"":""Polygon"",""coordinates"":[[[-39.99999147179693,-13.376397968173901],[-39.99999147179693,-13.876401400690659],[-39.937490978867956,-13.876401395656599],[-39.87499060270533,-13.876401447976853],[-39.81249010181548,-13.876401425555361],[-39.749989704373995,-13.87640139292046],[-39.68748924487821,-13.876401418540606],[-39.624988871214,-13.876401437421334],[-39.56248841533298,-13.876401444982932],[-39.499987944275084,-13.876401463075867],[-39.499987944275084,-13.376397982673899],[-39.56248841533297,-13.376397947178154],[-39.624988871214,-13.376397923557231],[-39.6874892448782,-13.376397964266463],[-39.749989704374,-13.376397933490319],[-39.81249010181548,-13.376397969709657],[-39.87499060270533,-13.376397936561402],[-39.937490978867956,-13.376397986596006],[-39.99999147179693,-13.376397968173901]]]}"
000000000000000035db,Tropical & Subtropical Moist Broadleaf Forests,Bahia coastal forests,306.25917264522377,Neotropic,120.43965507919732,Bahia,BRAr116,79997,79997,BRA,Brazil,South America,1,-39.74999,-14.6264,6,"{""type"":""Polygon"",""coordinates"":[[[-39.999991471796925,-14.376400387097688],[-39.99999147179694,-14.876399396753483],[-39.937490978867956,-14.876399425470384],[-39.87499060270533,-14.876399439591161],[-39.81249010181548,-14.87639945936301],[-39.749989704373995,-14.876399407037487],[-39.6874892448782,-14.876399431652656],[-39.624988871214,-14.876399398278854],[-39.56248841533298,-14.876399455395344],[-39.499987944275084,-14.87639941040428],[-39.499987944275084,-14.376400432546971],[-39.56248841533298,-14.376400433496777],[-39.624988871214,-14.37640038314621],[-39.68748924487821,-14.376400402705004],[-39.749989704373995,-14.376400420476626],[-39.81249010181548,-14.376400427384372],[-39.87499060270533,-14.37640042372014],[-39.937490978867956,-14.376400415691425],[-39.999991471796925,-14.376400387097688]]]}"
000000000000000035de,Tropical & Subtropical Moist Broadleaf Forests,Bahia coastal forests,232.54294744839683,Neotropic,86.56479426191932,Bahia,BRAr116,80000,80000,BRA,Brazil,South America,1,-39.74999,-16.1264,6,"{""type"":""Polygon"",""coordinates"":[[[-39.99999147179693,-15.876401856843966],[-39.99999147179694,-16.376400909066366],[-39.937490978867956,-16.376400893048963],[-39.87499060270533,-16.376400872510274],[-39.81249010181548,-16.376400879677664],[-39.749989704373995,-16.37640091375585],[-39.68748924487821,-16.376400914680126],[-39.624988871214,-16.376400898766008],[-39.56248841533298,-16.37640087886022],[-39.499987944275084,-16.37640088838115],[-39.499987944275084,-15.8764018888577],[-39.56248841533298,-15.876401879062483],[-39.624988871214,-15.876401844409273],[-39.68748924487821,-15.876401900963797],[-39.749989704373995,-15.87640189211843],[-39.81249010181548,-15.876401876905014],[-39.87499060270533,-15.876401845116895],[-39.937490978867956,-15.876401872312366],[-39.99999147179693,-15.876401856843966]]]}"
000000000000000035df,Tropical & Subtropical Moist Broadleaf Forests,Bahia coastal forests,221.02455699776348,Neotropic,112.4565230477616,Bahia,BRAr116,80001,80001,BRA,Brazil,South America,1,-39.74999,-16.6264,6,"{""type"":""Polygon"",""coordinates"":[[[-39.99999147179694,-16.376400909066366],[-39.99999147179693,-16.8763998700833],[-39.937490978867956,-16.876399906838376],[-39.87499060270533,-16.876399913310223],[-39.81249010181548,-16.876399925610492],[-39.749989704373995,-16.87639987018348],[-39.68748924487821,-16.87639991218832],[-39.62498887121399,-16.876399847616018],[-39.56248841533298,-16.87639991507544],[-39.499987944275084,-16.876399927843305],[-39.499987944275084,-16.37640088838115],[-39.56248841533298,-16.37640087886022],[-39.624988871214,-16.376400898766008],[-39.68748924487821,-16.376400914680126],[-39.749989704373995,-16.37640091375585],[-39.81249010181548,-16.376400879677664],[-39.87499060270533,-16.376400872510274],[-39.937490978867956,-16.376400893048963],[-39.99999147179694,-16.376400909066366]]]}"
