system:index,1,2,3,4,5,6,id_c,.geo
000000000000000034d9,0.0,0.0,0.0,0.0,0.0,0.0,79118,"{""type"":""Polygon"",""coordinates"":[[[-41.06111476879549,-2.8764011264014884],[-40.99998941198764,-2.876401114322619],[-40.99998941198763,-2.87493408007314],[-41.06111476879549,-2.8764011264014884]]]}"
000000000000000037ed,0.0,0.0098732998046875,0.0,0.0,0.0,0.1773318730545343,82830,"{""type"":""Polygon"",""coordinates"":[[[-34.99998807662086,-6.376398579651808],[-34.990904872101346,-6.376398558968904],[-34.99998807662086,-6.3507542809008095],[-34.99998807662086,-6.376398579651808]]]}"
000000000000000037c9,0.0,0.8709082632123162,0.0,0.0,0.0,0.32082225920649515,82552,"{""type"":""Polygon"",""coordinates"":[[[-35.49999146668449,-9.376401491271805],[-35.49999146668449,-9.426017901775182],[-35.454348165404554,-9.376401522880407],[-35.49999146668449,-9.376401491271805]]]}"
00000000000000003665,0.0,7.8411722855124095,0.0,0.0,0.0,1.2745016249846817,80568,"{""type"":""Polygon"",""coordinates"":[[[-38.999988947132344,-15.376398424878145],[-38.97569579718422,-15.376398451880078],[-38.991400713007586,-15.26417178040635],[-38.999988947132344,-15.094342464360308],[-38.999988947132344,-15.376398424878145]]]}"
00000000000000003550,0.0,0.10087185897288603,0.0,0.0,0.0,0.16115332699142157,79441,"{""type"":""MultiPolygon"",""coordinates"":[[[[-40.999989411987634,-21.876398838488242],[-40.981604573213154,-21.876398779304118],[-40.999989411987634,-21.77511479849373],[-40.999989411987634,-21.876398838488242]]],[[[-40.99998941198763,-21.376399823191427],[-40.99998941198763,-21.403221315416683],[-40.98370923247504,-21.37639985474292],[-40.99998941198763,-21.376399823191427]]]]}"
0000000000000000329b,2.2792360539636944,6.207407864571843,0.0,0.09602235627297794,0.0,0.14914833429074756,77165,"{""type"":""MultiPolygon"",""coordinates"":[[[[-44.99999035947156,-23.3764002734229],[-44.99999035947156,-23.40558061519149],[-44.96222620333334,-23.37640030328579],[-44.99999035947156,-23.3764002734229]]],[[[-44.848349692234265,-23.376400309378727],[-44.838200815669474,-23.389719603999943],[-44.7801120647461,-23.376400273180664],[-44.848349692234265,-23.376400309378727]]]]}"
00000000000000003297,0.0092532275390625,867.9897624629817,0.0,182.50715414384553,0.0,667.4167197181055,77161,"{""type"":""Polygon"",""coordinates"":[[[-44.99999035947156,-21.37639979806806],[-44.99999035947156,-21.876398803893405],[-44.937490487123384,-21.876398811466657],[-44.87499058693642,-21.876398794797343],[-44.81249075786634,-21.876398793400035],[-44.74999088311678,-21.87639877726426],[-44.687490986847095,-21.876398809520715],[-44.62499109168204,-21.876398809914843],[-44.562491218711315,-21.876398840700563],[-44.49999138748896,-21.876398820528642],[-44.49999138748896,-21.376399842681938],[-44.56249121871131,-21.376399815905955],[-44.62499109168204,-21.376399818567208],[-44.687490986847095,-21.376399791929998],[-44.74999088311678,-21.37639981971603],[-44.812490757866335,-21.37639984229914],[-44.87499058693643,-21.376399799772194],[-44.937490487123384,-21.37639979733117],[-44.99999035947156,-21.37639979806806]]]}"
0000000000000000334e,0.5986449892578125,1513.802762435876,0.0,28.64433960122933,0.0,1007.035554208377,77732,"{""type"":""Polygon"",""coordinates"":[[[-43.99998786754135,-21.87639879563122],[-43.99998786754135,-22.376397833673796],[-43.937488009003715,-22.37639782826455],[-43.87498815488794,-22.376397794793192],[-43.81248830728567,-22.376397793095194],[-43.749988393701535,-22.37639783495797],[-43.68748855916978,-22.37639778536468],[-43.62498865498149,-22.37639782435963],[-43.56248875014502,-22.376397840538324],[-43.49998891250789,-22.376397794383266],[-43.49998891250789,-21.876398842391033],[-43.56248875014503,-21.876398801653572],[-43.62498865498149,-21.876398797635876],[-43.68748855916978,-21.876398799817853],[-43.749988393701535,-21.87639884971415],[-43.81248830728567,-21.876398843539917],[-43.87498815488794,-21.876398846082974],[-43.93748800900372,-21.876398849028995],[-43.99998786754135,-21.87639879563122]]]}"
00000000000000003459,13.583775307958028,1612.3912875124495,0.0,36.757351029890465,0.0,1033.912741132446,78587,"{""type"":""Polygon"",""coordinates"":[[[-42.49999091571256,-21.87639881558781],[-42.49999091571256,-22.37639784778575],[-42.43749105233148,-22.376397829753145],[-42.37499112728458,-22.376397832818025],[-42.312491257401746,-22.37639785776843],[-42.249991408231224,-22.37639780617303],[-42.18749154380645,-22.376397799633285],[-42.12499162664797,-22.376397812215018],[-42.06249176877477,-22.376397843114674],[-41.999991930215856,-22.37639779170396],[-41.999991930215856,-21.876398839504233],[-42.06249176877477,-21.876398802483376],[-42.124991626647976,-21.876398789784588],[-42.18749154380645,-21.87639883106536],[-42.249991408231224,-21.87639878209068],[-42.312491257401746,-21.87639881880862],[-42.374991127284574,-21.876398822505376],[-42.43749105233148,-21.876398820985106],[-42.49999091571256,-21.87639881558781]]]}"
000000000000000034ac,15.920799474873622,778.9450136201528,0.0,10.173762148475797,0.0,1050.827947174685,78871,"{""type"":""Polygon"",""coordinates"":[[[-41.99999193021585,-21.37639983424563],[-41.999991930215856,-21.876398839504233],[-41.937491464045344,-21.87639883736466],[-41.87499100708657,-21.87639884800955],[-41.81249059096982,-21.87639881667528],[-41.7499901702272,-21.876398785419],[-41.68748977391794,-21.876398772454515],[-41.62498927771381,-21.876398842436156],[-41.5624888602552,-21.876398817906125],[-41.49998847085347,-21.87639881321659],[-41.499988470853474,-21.376399832181413],[-41.5624888602552,-21.376399800529974],[-41.6249892777138,-21.376399806325363],[-41.68748977391793,-21.376399812046078],[-41.74999017022719,-21.37639984875069],[-41.812490590969816,-21.37639985522902],[-41.87499100708657,-21.376399815849865],[-41.937491464045344,-21.37639983896065],[-41.99999193021585,-21.37639983424563]]]}"
